"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Created date","Usages","Fill rate","data_entry_instructions","option_descriptions"
"Date of last meeting booked in meetings tool","engagements_last_meeting_booked","datetime","The date of the most recent meeting an associated contact has booked through the meetings tool.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Campaign of last booking in meetings tool","engagements_last_meeting_booked_campaign","string","This UTM parameter shows which marketing campaign (e.g. a specific email) referred an associated contact to the meetings tool for their most recent booking. This property is only populated when you add tracking parameters to your meeting link.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Medium of last booking in meetings tool","engagements_last_meeting_booked_medium","string","This UTM parameter shows which channel (e.g. email) referred an associated contact to the meetings tool for their most recent booking. This property is only populated when you add tracking parameters to your meeting link.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Source of last booking in meetings tool","engagements_last_meeting_booked_source","string","This UTM parameter shows which site (e.g. Twitter) referred an associated contact to the meetings tool for their most recent booking. This property is only populated when you add tracking parameters to your meeting link. ","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Has Last Conversation Follow Ups","hs_has_last_conversation_follow_ups","bool","Indicates if the most recent conversation has follow ups. True if hs_last_conversation_with_followups_object_coordinates has a value, false otherwise.","deal_activity","false","Yes (true); No (false)","true","true","true","false","false","true","HubSpot","Not applicable","","14.84%","",""
"Is closed lost","hs_is_closed_lost","bool","True if the deal is in the closed lost state, false otherwise","deal_activity","false","True (true); False (false)","true","true","true","false","false","true","HubSpot","Not applicable","","100%","",""
"Is Closed Won","hs_is_closed_won","bool","True if the deal is in the closed won state, false otherwise","deal_activity","false","True (true); False (false)","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Last conversation with follow-ups","hs_last_conversation_with_followups_object_coordinates","object_coordinates","Object coordinates of the last conversation with followups","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Last email with follow-ups","hs_last_email_with_followups_object_coordinates","string","Object coordinates of the last email with follow-ups","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Last GS Shared Message","hs_last_gs_shared_message","datetime","when was the last gs shared message?","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Last Partner Shared Message Date","hs_last_partner_shared_message_date","date","When was the last shared message sent on this deal by a Partner?","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Last Modified Date","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this deal. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Latest Approval Status","hs_latest_approval_status","string","The latest approval status. Used by HubSpot to track pipeline approval processes.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Last Contacted","notes_last_contacted","datetime","The last time a call, sales email, or meeting was logged for this deal. This is set automatically by HubSpot based on user actions.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","Property cards (2)","92.19%","",""
"Last Activity Date","notes_last_updated","datetime","The last time a note, call, email, meeting, or task was logged for a deal. This is updated automatically by HubSpot.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","94.53%","",""
"Next Activity Date","notes_next_activity_date","datetime","The date of the next upcoming activity for a deal. This property is set automatically by HubSpot based on user action. This includes logging a future call, sales email, or meeting using the Log feature, as well as creating a future task or scheduling a future meeting. This is updated automatically by HubSpot.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","3.12%","",""
"Number of times contacted","num_contacted_notes","number","The number of times a call, chat conversation, LinkedIn message, postal mail, meeting, sales email, SMS, or WhatsApp message was logged for a deal record. This is set automatically by HubSpot based on user actions in the deal record.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","93.75%","",""
"Number of Sales Activities","num_notes","number","The number of times a call, chat conversation, LinkedIn message, postal mail, meeting, note, sales email, SMS, task, or WhatsApp message was logged for a deal record. This is set automatically by HubSpot based on user actions in the deal record.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","97.66%","",""
"Pipeline","pipeline","enumeration","The pipeline the deal is in. This determines which stages are options for the deal.","deal_activity","false","","false","true","false","true","false","true","HubSpot","Not applicable","Workflows (2)","100%","",""
"Amount","amount","number","The total amount of the deal","deal_revenue","true","","false","true","false","false","false","true","HubSpot","Not applicable","Views (1)","99.22%","",""
"Amount in company currency","amount_in_home_currency","number","The amount of the deal, using the exchange rate, in your company's currency","deal_revenue","false","","true","true","true","false","false","true","HubSpot","Not applicable","","99.22%","",""
"Currency","deal_currency_code","enumeration","Currency code for the deal.","deal_revenue","false","","false","true","false","true","false","true","HubSpot","Not applicable","","100%","",""
"Annual contract value","hs_acv","number","The annual contract value (ACV) of this deal.","deal_revenue","false","","true","true","true","false","false","true","HubSpot","Not applicable","","0%","",""
"Annual recurring revenue","hs_arr","number","The annual recurring revenue (ARR) of this deal.","deal_revenue","true","","true","true","true","false","false","true","HubSpot","Not applicable","","0%","",""
"Exchange rate","hs_exchange_rate","number","This is the exchange rate used to convert the deal amount into your company currency.","deal_revenue","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Monthly recurring revenue","hs_mrr","number","The monthly recurring revenue (MRR) of this deal.","deal_revenue","true","","true","true","true","false","false","true","HubSpot","Not applicable","","0%","",""
"Total contract value","hs_tcv","number","The total contract value (TCV) of this deal.","deal_revenue","false","","true","true","true","false","false","true","HubSpot","Not applicable","","0%","",""
"Close Date","closedate","datetime","Date the deal was closed. This property is set automatically by HubSpot.","dealinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","Reports (3); Views (1)","100%","",""
"Create Date","createdate","datetime","Date the deal was created. This property is set automatically by HubSpot.","dealinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Days to close","days_to_close","number","The number of days the deal took to close","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Deal Source","deal_source","string","","dealinformation","true","","false","false","false","false","false","false","Rish S","7/17/26","","0%","",""
"Deal Name","dealname","string","The name given to this deal.","dealinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","Views (1); Pipeline object tags (1)","100%","",""
"Deal Type","dealtype","enumeration","The type of deal. By default, categorize your deal as either a New Business or Existing Business.","dealinformation","true","New Business (newbusiness); Existing Business (existingbusiness)","false","true","false","false","false","true","HubSpot","Not applicable","Property cards (2)","89.06%","",""
"Deal Description","description","string","Description of the deal","dealinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","8.59%","",""
"Deal Collaborator","hs_all_collaborator_owner_ids","enumeration","Owner ids of the users involved in closing the deal","dealinformation","false","","false","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"Closed won count","hs_closed_won_count","number","This property is 1 if the deal is closed won, otherwise 0.","dealinformation","false","","true","true","true","false","false","true","HubSpot","Not applicable","","100%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","dealinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","","100%","",""
"Deal Score","hs_deal_score","number","The predictive deal score calculated by Hubspot AI to score the deal health","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","21.88%","",""
"Deal probability","hs_deal_stage_probability","number","The probability a deal will close. This defaults to the deal stage probability setting.","dealinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Forecast amount","hs_forecast_amount","number","The custom forecasted deal value calculated by multiplying the forecast probability and deal amount in your company’s currency.","dealinformation","false","","true","true","true","false","false","true","HubSpot","Not applicable","","99.22%","",""
"Forecast probability","hs_forecast_probability","number","The custom percent probability a deal will close.","dealinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Is Deal Closed?","hs_is_closed","bool","True if the deal was won or lost.","dealinformation","false","True (true); False (false)","true","true","true","false","false","true","HubSpot","Not applicable","Reports (1)","100%","",""
"Is Closed (numeric)","hs_is_closed_count","number","This property is 1 if the deal is closed (""Closed Won"" or ""Closed Lost""), otherwise 0","dealinformation","false","","true","true","true","false","false","true","HubSpot","Not applicable","","100%","",""
"Is Open (numeric)","hs_is_open_count","number","This property is 1 if the deal is not closed won or closed lost, otherwise 0","dealinformation","false","","true","true","true","false","false","true","HubSpot","Not applicable","","100%","",""
"Forecast category","hs_manual_forecast_category","enumeration","The likelihood a deal will close. This property is used for manual forecasting your deals.","dealinformation","false","Not forecasted (OMIT); Pipeline (PIPELINE); Best case (BEST_CASE); Commit (COMMIT); Closed won (CLOSED)","false","true","false","false","false","true","HubSpot","Not applicable","Workflows (1)","17.19%","",""
"Merged Deal IDs","hs_merged_object_ids","enumeration","The list of Deal record IDs that have been merged into this Deal. This value is set automatically by HubSpot.","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0.78%","",""
"Next Meeting","hs_next_meeting_id","number","ID of the next upcoming meeting linked to the deal. This value is set automatically by HubSpot.","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","3.12%","",""
"Next Meeting Name","hs_next_meeting_name","string","Title of the next upcoming meeting linked to the deal. This value is set automatically by HubSpot.","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","3.12%","",""
"Next Meeting Start Time","hs_next_meeting_start_time","datetime","Start date and time of the next upcoming meeting linked to the deal. This value is set automatically by HubSpot.","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","3.12%","",""
"Next step","hs_next_step","string","A short description of the next step for the deal","dealinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","71.88%","",""
"Next Activity","hs_notes_next_activity","object_coordinates","The coordinates of the next upcoming activity for a deal. This is set automatically by HubSpot based on user actions in the deal record.","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","3.12%","",""
"Number of Associated Line Items","hs_num_of_associated_line_items","number","The number of line items associated with this deal","dealinformation","false","","true","true","true","false","false","true","HubSpot","Not applicable","","100%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0.78%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0.78%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","dealinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","","100%","",""
"Priority","hs_priority","enumeration","The priority level of the deal","dealinformation","false","Low (low); Medium (medium); High (high)","false","true","false","false","false","true","HubSpot","Not applicable","Property cards (2)","79.69%","",""
"Weighted amount","hs_projected_amount","number","Returns the multiplication of the amount times the probability of the deal closing.","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","99.22%","",""
"Weighted amount in company currency","hs_projected_amount_in_home_currency","number","The deal’s amount in home currency multiplied by its probability of closing, which is determined based on the deal’s stage and the probability that was assigned to it in deal pipeline settings.","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","99.22%","",""
"Deal Tags","hs_tag_ids","enumeration","List of tag ids applicable to a deal. This property is set automatically by HubSpot.","dealinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","dealinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","","100%","",""
"Deal owner","hubspot_owner_id","enumeration","User the deal is assigned to. Assign additional users to a deal record by creating a custom user property.","dealinformation","false","","false","true","false","true","false","true","HubSpot","Not applicable","Views (1); Property cards (2)","100%","",""
"HubSpot Team","hubspot_team_id","enumeration","Primary team of the deal owner. This property is set automatically by HubSpot.","dealinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"Closed Lost reason","lv_closed_lost_reason","string","","dealinformation","true","","false","false","false","false","false","false","Rish S","7/17/26","","0%","",""
"Number of Associated Contacts","num_associated_contacts","number","The number of contacts associated with this deal. This property is set automatically by HubSpot.","dealinformation","false","","true","true","true","false","false","true","HubSpot","Not applicable","","100%","",""
"Average Deal Owner Duration In Current Stage","hs_average_deal_owner_duration_in_current_stage","number","Time duration of the calculated average time of closed-won deals spent in current pipeline stage","dealscripted","false","","true","true","false","false","false","true","HubSpot","Not applicable","","3.12%","",""
"Is Stalled","hs_is_stalled","bool","True if Time in stage is 20% longer than the deal owner’s closed-won average time for that stage, false otherwise.","dealscripted","false","true; false","true","true","false","false","false","true","HubSpot","Not applicable","","29.69%","",""
"Is Stalled After Timestamp","hs_is_stalled_after_timestamp","datetime","Timestamp when Time in stage became 20% longer than the deal owner’s closed-won average for that stage.","dealscripted","false","","true","true","false","false","false","true","HubSpot","Not applicable","","3.12%","",""
"Cumulative time in ""MEDDPICC Completed (Sales Pipeline)""","hs_v2_cumulative_time_in_32876426","number","The cumulative time in seconds spent by the deal in the 'MEDDPICC Completed' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","29.69%","",""
"Cumulative time in ""Appointment scheduled (Virtuals Pipeline)""","hs_v2_cumulative_time_in_3431586250","number","The cumulative time in seconds spent by the deal in the 'Appointment scheduled' stage, 'Virtuals Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0.78%","",""
"Cumulative time in ""Discovery Completed (Virtuals Pipeline)""","hs_v2_cumulative_time_in_3431586251","number","The cumulative time in seconds spent by the deal in the 'Discovery Completed' stage, 'Virtuals Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Cumulative time in ""MEDDPICC Completed (Virtuals Pipeline)""","hs_v2_cumulative_time_in_3431586252","number","The cumulative time in seconds spent by the deal in the 'MEDDPICC Completed' stage, 'Virtuals Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Cumulative time in ""Presentation scheduled (Virtuals Pipeline)""","hs_v2_cumulative_time_in_3431586253","number","The cumulative time in seconds spent by the deal in the 'Presentation scheduled' stage, 'Virtuals Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Cumulative time in ""Proposal Completed (Virtuals Pipeline)""","hs_v2_cumulative_time_in_3431586254","number","The cumulative time in seconds spent by the deal in the 'Proposal Completed' stage, 'Virtuals Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Cumulative time in ""Contract sent (Virtuals Pipeline)""","hs_v2_cumulative_time_in_3431586255","number","The cumulative time in seconds spent by the deal in the 'Contract sent' stage, 'Virtuals Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Cumulative time in ""Closed won (Virtuals Pipeline)""","hs_v2_cumulative_time_in_3431586256","number","The cumulative time in seconds spent by the deal in the 'Closed won' stage, 'Virtuals Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Cumulative time in ""Closed lost (Virtuals Pipeline)""","hs_v2_cumulative_time_in_3431586257","number","The cumulative time in seconds spent by the deal in the 'Closed lost' stage, 'Virtuals Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Cumulative time in ""Appointment scheduled (Sales Pipeline)""","hs_v2_cumulative_time_in_appointmentscheduled","number","The cumulative time in seconds spent by the deal in the 'Appointment scheduled' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","43.75%","",""
"Cumulative time in ""Closed lost (Sales Pipeline)""","hs_v2_cumulative_time_in_closedlost","number","The cumulative time in seconds spent by the deal in the 'Closed lost' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","4.69%","",""
"Cumulative time in ""Closed won (Sales Pipeline)""","hs_v2_cumulative_time_in_closedwon","number","The cumulative time in seconds spent by the deal in the 'Closed won' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","8.59%","",""
"Cumulative time in ""Contract sent (Sales Pipeline)""","hs_v2_cumulative_time_in_contractsent","number","The cumulative time in seconds spent by the deal in the 'Contract sent' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","20.31%","",""
"Cumulative time in ""Proposal Completed (Sales Pipeline)""","hs_v2_cumulative_time_in_decisionmakerboughtin","number","The cumulative time in seconds spent by the deal in the 'Proposal Completed' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","41.41%","",""
"Cumulative time in ""Presentation scheduled (Sales Pipeline)""","hs_v2_cumulative_time_in_presentationscheduled","number","The cumulative time in seconds spent by the deal in the 'Presentation scheduled' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","32.03%","",""
"Cumulative time in ""Discovery Completed (Sales Pipeline)""","hs_v2_cumulative_time_in_qualifiedtobuy","number","The cumulative time in seconds spent by the deal in the 'Discovery Completed' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","34.38%","",""
"Date entered ""MEDDPICC Completed (Sales Pipeline)""","hs_v2_date_entered_32876426","datetime","The date and time when the deal entered the 'MEDDPICC Completed' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","30.47%","",""
"Date entered ""Appointment scheduled (Virtuals Pipeline)""","hs_v2_date_entered_3431586250","datetime","The date and time when the deal entered the 'Appointment scheduled' stage, 'Virtuals Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","7.81%","",""
"Date entered ""Discovery Completed (Virtuals Pipeline)""","hs_v2_date_entered_3431586251","datetime","The date and time when the deal entered the 'Discovery Completed' stage, 'Virtuals Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","3.12%","",""
"Date entered ""MEDDPICC Completed (Virtuals Pipeline)""","hs_v2_date_entered_3431586252","datetime","The date and time when the deal entered the 'MEDDPICC Completed' stage, 'Virtuals Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Date entered ""Presentation scheduled (Virtuals Pipeline)""","hs_v2_date_entered_3431586253","datetime","The date and time when the deal entered the 'Presentation scheduled' stage, 'Virtuals Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Date entered ""Proposal Completed (Virtuals Pipeline)""","hs_v2_date_entered_3431586254","datetime","The date and time when the deal entered the 'Proposal Completed' stage, 'Virtuals Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0.78%","",""
"Date entered ""Contract sent (Virtuals Pipeline)""","hs_v2_date_entered_3431586255","datetime","The date and time when the deal entered the 'Contract sent' stage, 'Virtuals Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Date entered ""Closed won (Virtuals Pipeline)""","hs_v2_date_entered_3431586256","datetime","The date and time when the deal entered the 'Closed won' stage, 'Virtuals Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Date entered ""Closed lost (Virtuals Pipeline)""","hs_v2_date_entered_3431586257","datetime","The date and time when the deal entered the 'Closed lost' stage, 'Virtuals Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Date entered ""Appointment scheduled (Sales Pipeline)""","hs_v2_date_entered_appointmentscheduled","datetime","The date and time when the deal entered the 'Appointment scheduled' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","45.31%","",""
"Date entered ""Closed lost (Sales Pipeline)""","hs_v2_date_entered_closedlost","datetime","The date and time when the deal entered the 'Closed lost' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","50%","",""
"Date entered ""Closed won (Sales Pipeline)""","hs_v2_date_entered_closedwon","datetime","The date and time when the deal entered the 'Closed won' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","37.5%","",""
"Date entered ""Contract sent (Sales Pipeline)""","hs_v2_date_entered_contractsent","datetime","The date and time when the deal entered the 'Contract sent' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","22.66%","",""
"Date entered current stage","hs_v2_date_entered_current_stage","datetime","The date this object entered its current pipeline stage","dealstages","false","","true","true","true","false","false","true","HubSpot","Not applicable","","100%","",""
"Date entered ""Proposal Completed (Sales Pipeline)""","hs_v2_date_entered_decisionmakerboughtin","datetime","The date and time when the deal entered the 'Proposal Completed' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","44.53%","",""
"Date entered ""Presentation scheduled (Sales Pipeline)""","hs_v2_date_entered_presentationscheduled","datetime","The date and time when the deal entered the 'Presentation scheduled' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","33.59%","",""
"Date entered ""Discovery Completed (Sales Pipeline)""","hs_v2_date_entered_qualifiedtobuy","datetime","The date and time when the deal entered the 'Discovery Completed' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","34.38%","",""
"Date exited ""MEDDPICC Completed (Sales Pipeline)""","hs_v2_date_exited_32876426","datetime","The date and time when the deal exited the 'MEDDPICC Completed' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","29.69%","",""
"Date exited ""Appointment scheduled (Virtuals Pipeline)""","hs_v2_date_exited_3431586250","datetime","The date and time when the deal exited the 'Appointment scheduled' stage, 'Virtuals Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0.78%","",""
"Date exited ""Discovery Completed (Virtuals Pipeline)""","hs_v2_date_exited_3431586251","datetime","The date and time when the deal exited the 'Discovery Completed' stage, 'Virtuals Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Date exited ""MEDDPICC Completed (Virtuals Pipeline)""","hs_v2_date_exited_3431586252","datetime","The date and time when the deal exited the 'MEDDPICC Completed' stage, 'Virtuals Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Date exited ""Presentation scheduled (Virtuals Pipeline)""","hs_v2_date_exited_3431586253","datetime","The date and time when the deal exited the 'Presentation scheduled' stage, 'Virtuals Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Date exited ""Proposal Completed (Virtuals Pipeline)""","hs_v2_date_exited_3431586254","datetime","The date and time when the deal exited the 'Proposal Completed' stage, 'Virtuals Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Date exited ""Contract sent (Virtuals Pipeline)""","hs_v2_date_exited_3431586255","datetime","The date and time when the deal exited the 'Contract sent' stage, 'Virtuals Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Date exited ""Closed won (Virtuals Pipeline)""","hs_v2_date_exited_3431586256","datetime","The date and time when the deal exited the 'Closed won' stage, 'Virtuals Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Date exited ""Closed lost (Virtuals Pipeline)""","hs_v2_date_exited_3431586257","datetime","The date and time when the deal exited the 'Closed lost' stage, 'Virtuals Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Date exited ""Appointment scheduled (Sales Pipeline)""","hs_v2_date_exited_appointmentscheduled","datetime","The date and time when the deal exited the 'Appointment scheduled' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","43.75%","",""
